단어,품사,뜻
,형용사 ,각각[각자]의
member,명사 ,구성원[일원](특정 집단에 속하는 사람·동물·식물)
,명사 ,회원(어떤 단체에 가입한 개인·국가·기관)
,명사 ,(인체 부위 중 특히) 팔[다리]
state,명사 ,상태
,명사 ,"국가, 나라 (→city state, nation state, police state, welfare state)"
,형용사 ,"국가의, 국영의"
,형용사 ,(국가 지도자의 행사 참석과 관련하여) 국가[공식]적인
continue,동사 ,(쉬지 않고) 계속되다
,동사 ,(쉬지 않고) 계속하다
,동사 ,(같은 방향으로) 계속 가다[이어지다]
sell,동사 ,(돈을 받고) 팔다[매각/매도하다]
,동사 ,(사람들이 살 수 있도록 내놓고) 팔다 (→cross-selling)
,명사 ,실망스러운 것 (→hard sell)
equally,부사 ,"똑같이, 동일[동등]하게"
,부사 ,균등하게
,부사 ,(방금 한 말에 덧붙이는 내용 서두에 써서) 마찬가지로[동시에]
important,형용사 ,중요한
,형용사 ,"중요한, 영향력이 큰, 권위 있는"
factor,명사 ,"요인, 인자"
,명사 ,인수
,명사 ,(증가감소의) 양[비율]
however,부사 ,(‘정도’를 나타내어) 아무리 …해도
,부사 ,(‘방법’을 나타내어) 아무리 …해도
,부사 ,"하지만, 그러나"
fact,명사 ,(…라는) 점[실상/실제]
,명사 ,(특히 입증할 수 있는) 사실
,명사 ,(지어낸 것이 아닌) 사실
armed,형용사 ,무기가 사용되는 (↔unarmed)
,형용사 ,무기[총]를 소지한 (↔unarmed)
,형용사 ,(지식 등으로) 무장한
force,명사 ,"물리력, 폭력"
,명사 ,(물리적으로 나타나는) 힘
,동사 ,(~을 하도록) ~를 강요하다[(어쩔 수 없이) …하게 만들다] (=compel)
,동사 ,(물리력을 이용하여) 억지[강제]로 …하다
produce,동사 ,"(상품을 특히 대량으로) 생산하다 (→mass-produce), (=manufacture)"
,동사 ,"(농작물 등을) 생산하다, (자식새끼를) 낳다"
,명사 ,"생산물[품], (특히) 농작물[농산물]"
variety,명사 ,"여러 가지, 갖가지, 각양각색"
,명사 ,다양성 (=diversity)
,명사 ,(식물·언어 등의) 품종[종류]
target,명사 ,"목표, (목표로 하는) 대상"
,명사 ,(공격의) 표적[목표물]
,동사 ,"(공격비판의) 목표[표적]로 삼다, 겨냥하다"
,동사 ,"(영향을 미칠) 대상으로 삼다, 겨냥하다"
Civilians,,"The people who soldiers sacrifice their lives for so that future generations may prosper. They tend whine and complain about the smallest inconvience, breakdown under the most minimal pressures, and get in the way of falling ordinance."
firms,,회사
supply,명사 ,공급[비축](량)
,명사 ,(군대원정대 등의 단체가 필요로 하는) 보급품[물자]
,동사 ,(특히 대량으로) 공급[제공]하다
raw,형용사 ,"익히지 않은, 날것의"
,형용사 ,"원자재의, 가공되지 않은"
,형용사 ,가공[처리]되지 않은
materials,명사 ,자재
training,명사 ,"(특정 직업·일에 필요한) 교육, 훈련, 연수"
,명사 ,(스포츠 대회를 위한) 훈련
machine,명사 ,기계 (→voting machine)
,명사 ,<특정 기계의 이름을 전체적으로 부르지 않고 줄여서 가리킬 때 씀>
,동사 ,기계로 만들다
